delivery_station,hex,latitude,longitude,radius_miles,is_center
DBS5,87a8c2483ffffff,-15.814496237353353,-47.89170004561263,2.0,False
DSA8,878116a36ffffff,-12.930568909152857,-38.41875876175241,2.0,True
DSA8,878116babffffff,-12.942448233586257,-38.39781916709745,2.0,False
DSA8,878116b8dffffff,-12.918892087500858,-38.3974720944553,2.0,False
DSA8,878116a32ffffff,-12.907010821076529,-38.41841097267511,2.0,False
DSA8,878116a30ffffff,-12.918686651727478,-38.439698590313725,2.0,False
DSA8,878116a34ffffff,-12.942243840511304,-38.44004711953114,2.0,False
DSA8,878116ba9ffffff,-12.954124157053489,-38.419106574564125,2.0,False
DPE4,8781839a8ffffff,-8.07329548673878,-34.96807274014247,2.0,True
DPE4,8781839aeffffff,-8.085257496771273,-34.947448604178646,2.0,False
DPE4,8781839aaffffff,-8.061413037235651,-34.94722265072313,2.0,False
DPE4,8781839abffffff,-8.049449382996364,-34.967846079322804,2.0,False
DPE4,8781839a9ffffff,-8.06133108418833,-34.98869799940896,2.0,False
DPE4,8781839adffffff,-8.085177637160108,-34.988925383071745,2.0,False
DPE4,8781839acffffff,-8.097140396440444,-34.96829941637526,2.0,False
DPB3,87818375bffffff,-7.142811718260817,-34.87641836206343,2.0,True
DPB3,87818375affffff,-7.15482907813278,-34.85582773135389,2.0,False
DPB3,878183674ffffff,-7.130948538263196,-34.85560522796123,2.0,False
DPB3,878183675ffffff,-7.118929677286723,-34.876195153343595,2.0,False
DPB3,878183666ffffff,-7.130792146119216,-34.89701013624407,2.0,False
DPB3,878183759ffffff,-7.154674814119876,-34.897234065517516,2.0,False
DPB3,878183758ffffff,-7.166692886083476,-34.87664158594166,2.0,False
DCE3,87801040bffffff,-3.8423344935171744,-38.53843835519062,2.0,True
DCE3,87801040affffff,-3.8546827874483793,-38.517760651536975,2.0,False
DCE3,8780104e4ffffff,-3.83061797425975,-38.51741388923152,2.0,False
DCE3,8780104e5ffffff,-3.8182692928129693,-38.53809089477948,2.0,False
DCE3,878010456ffffff,-3.8299852255398235,-38.559116255754084,2.0,False
DCE3,878010409ffffff,-3.8540510758916593,-38.559464437645254,2.0,False
DCE3,878010408ffffff,-3.8663999574016708,-38.53878583900772,2.0,False
PUM2,87a8a061bffffff,-22.845534656992548,-43.280534541190576,2.0,True
PUM2,87a8a061affffff,-22.856924277931824,-43.25929454780916,2.0,False
PUM2,87a8a06f4ffffff,-22.835202725217965,-43.25877450593204,2.0,False
PUM2,87a8a06f5ffffff,-22.82381048268767,-43.28001378966426,2.0,False
PUM2,87a8a06e6ffffff,-22.834140899139467,-43.30177343724978,2.0,False
PUM2,87a8a0619ffffff,-22.855862232287453,-43.3022949337072,2.0,False
PUM2,87a8a0618ffffff,-22.86725336983413,-43.281055328172066,2.0,False
