station_code,slot_id,capacity_s,lat,lon
DBS5,DBS5_T01_S01,42,-15.743805245794002,-47.8866481019923
DBS5,DBS5_T01_S02,42,-15.722249939305513,-47.889038568932726
DBS5,DBS5_T01_S03,42,-15.717442025841262,-47.88588786995484
DBS5,DBS5_T01_S04,42,-15.755473299992424,-47.88397239337737
DBS5,DBS5_T01_S05,42,-15.610407477495084,-47.65684794872665
DBS5,DBS5_T01_S06,42,-15.650738370631743,-47.7905854752285
DBS5,DBS5_T01_S07,42,-15.748883453079943,-47.88378235088555
DBS5,DBS5_T01_S08,42,-15.752178414618081,-47.883877371687745
DBS5,DBS5_T01_S09,42,-15.752178414618081,-47.883877371687745
DBS5,DBS5_T01_S10,42,-15.752178414618081,-47.883877371687745
DBS5,DBS5_T01_S11,42,-15.752178414618081,-47.883877371687745
DBS5,DBS5_T01_S12,42,-15.743805245794002,-47.8866481019923
DBS5,DBS5_T01_S13,42,-15.722249939305513,-47.889038568932726
DBS5,DBS5_T01_S14,42,-15.714146281320255,-47.88579284494358
DBS5,DBS5_T01_S15,42,-15.714146281320255,-47.88579284494358
DBS5,DBS5_T01_S16,42,-15.740510109500041,-47.886553069881515
DBS5,DBS5_T01_S17,42,-15.760551145263628,-47.881106546374255
DBS5,DBS5_T01_S18,42,-15.610407477495084,-47.65684794872665
DBS5,DBS5_T01_S19,42,-15.753961495771923,-47.880916528276906
DBS5,DBS5_T01_S20,42,-15.753961495771923,-47.880916528276906
DBS5,DBS5_T01_S21,42,-15.650738370631743,-47.7905854752285
DBS5,DBS5_T01_S22,42,-15.787561688921159,-47.83066991859807
DBS5,DBS5_T01_S23,42,-15.786750514415774,-47.84872366807508
DBS5,DBS5_T01_S24,42,-15.758375585056928,-47.745459584241196
DBS5,DBS5_T01_S25,42,-15.737214897110507,-47.886458038658205
DBS5,DBS5_T01_S26,42,-15.78880346910843,-47.83974435407134
DBS5,DBS5_T01_S27,42,-15.757256358614596,-47.881011536881914
DBS5,DBS5_T01_S28,42,-15.635811909707684,-47.64250141054894
DBS5,DBS5_T01_S29,42,-15.714146281320255,-47.88579284494358
DBS5,DBS5_T01_S30,42,-15.717712981208992,-47.87987149218237
DBS5,DBS5_T01_S31,42,-15.715929652911178,-47.88283219166898
DBS5,DBS5_T01_S32,42,-15.660095172302567,-47.80290465283902
DBS5,DBS5_T01_S33,42,-15.722249939305513,-47.889038568932726
DBS5,DBS5_T01_S34,42,-15.71922537503182,-47.882927203597646
DBS5,DBS5_T01_S35,42,-15.632776515350542,-47.63638674296625
DBS5,DBS5_T01_S36,42,-15.759039373759652,-47.87805063417804
DBS5,DBS5_T01_S37,42,-15.817585241182616,-47.78633440171949
DBS5,DBS5_T01_S38,42,-15.67140173405296,-47.84540384081145
DBS5,DBS5_T01_S39,42,-15.658312231716307,-47.80586609657819
DBS5,DBS5_T01_S40,42,-15.750666556754787,-47.88082152055921
DBS5,DBS5_T01_S41,42,-15.668643405386371,-47.83327525182579
DBS5,DBS5_T01_S42,42,-15.770216883703172,-47.77593439541041
DBS5,DBS5_T01_S43,42,-15.656797607629128,-47.802810009687725
